From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q13151	Q13151	reviewed	ROA0_HUMAN	Heterogeneous nuclear ribonucleoprotein A0 (hnRNP A0)	HNRNPA0 HNRPA0	Homo sapiens (Human)	305
P09651	P09651	reviewed	ROA1_HUMAN	Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (Helix-destabilizing protein) (Single-strand RNA-binding protein) (hnRNP core protein A1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed]	HNRNPA1 HNRPA1	Homo sapiens (Human)	372
P22626	P22626	reviewed	ROA2_HUMAN	Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2/B1)	HNRNPA2B1 HNRPA2B1	Homo sapiens (Human)	353
P51991	P51991	reviewed	ROA3_HUMAN	Heterogeneous nuclear ribonucleoprotein A3 (hnRNP A3)	HNRNPA3 HNRPA3	Homo sapiens (Human)	378
P62487	P62487	reviewed	RPB7_HUMAN	DNA-directed RNA polymerase II subunit RPB7 (RNA polymerase II subunit B7) (DNA-directed RNA polymerase II subunit G) (RNA polymerase II 19 kDa subunit) (RPB19)	POLR2G RPB7	Homo sapiens (Human)	172
Q96P16	Q96P16	reviewed	RPR1A_HUMAN	Regulation of nuclear pre-mRNA domain-containing protein 1A (Cyclin-dependent kinase inhibitor 2B-related protein) (p15INK4B-related protein)	RPRD1A P15RS	Homo sapiens (Human)	312
Q9NQG5	Q9NQG5	reviewed	RPR1B_HUMAN	Regulation of nuclear pre-mRNA domain-containing protein 1B (Cell cycle-related and expression-elevated protein in tumor)	RPRD1B C20orf77 CREPT	Homo sapiens (Human)	326
Q9Y2L1	Q9Y2L1	reviewed	RRP44_HUMAN	Exosome complex exonuclease RRP44 (EC 3.1.13.-) (EC 3.1.26.-) (Protein DIS3 homolog) (Ribosomal RNA-processing protein 44)	DIS3 KIAA1008 RRP44	Homo sapiens (Human)	958
P46783	P46783	reviewed	RS10_HUMAN	40S ribosomal protein S10 (Small ribosomal subunit protein eS10)	RPS10	Homo sapiens (Human)	165
P25398	P25398	reviewed	RS12_HUMAN	40S ribosomal protein S12 (Small ribosomal subunit protein eS12)	RPS12	Homo sapiens (Human)	132
P62277	P62277	reviewed	RS13_HUMAN	40S ribosomal protein S13 (Small ribosomal subunit protein uS15)	RPS13	Homo sapiens (Human)	151
P62263	P62263	reviewed	RS14_HUMAN	40S ribosomal protein S14 (Small ribosomal subunit protein uS11)	RPS14 PRO2640	Homo sapiens (Human)	151
P62244	P62244	reviewed	RS15A_HUMAN	40S ribosomal protein S15a (Small ribosomal subunit protein uS8)	RPS15A OK/SW-cl.82	Homo sapiens (Human)	130
P08708	P08708	reviewed	RS17_HUMAN	40S ribosomal protein S17 (Small ribosomal subunit protein eS17)	RPS17 RPS17L	Homo sapiens (Human)	135
P62269	P62269	reviewed	RS18_HUMAN	40S ribosomal protein S18 (Ke-3) (Ke3) (Small ribosomal subunit protein uS13)	RPS18 D6S218E	Homo sapiens (Human)	152
P23396	P23396	reviewed	RS3_HUMAN	40S ribosomal protein S3 (EC 4.2.99.18) (Small ribosomal subunit protein uS3)	RPS3 OK/SW-cl.26	Homo sapiens (Human)	243
P61247	P61247	reviewed	RS3A_HUMAN	40S ribosomal protein S3a (Small ribosomal subunit protein eS1) (v-fos transformation effector protein) (Fte-1)	RPS3A FTE1 MFTL	Homo sapiens (Human)	264
P62701	P62701	reviewed	RS4X_HUMAN	40S ribosomal protein S4, X isoform (SCR10) (Single copy abundant mRNA protein) (Small ribosomal subunit protein eS4)	RPS4X CCG2 RPS4 SCAR	Homo sapiens (Human)	263
P62753	P62753	reviewed	RS6_HUMAN	40S ribosomal protein S6 (Phosphoprotein NP33) (Small ribosomal subunit protein eS6)	RPS6 OK/SW-cl.2	Homo sapiens (Human)	249
P62081	P62081	reviewed	RS7_HUMAN	40S ribosomal protein S7 (Small ribosomal subunit protein eS7)	RPS7	Homo sapiens (Human)	194
P62241	P62241	reviewed	RS8_HUMAN	40S ribosomal protein S8 (Small ribosomal subunit protein eS8)	RPS8 OK/SW-cl.83	Homo sapiens (Human)	208
P63162	P63162	reviewed	RSMN_HUMAN	Small nuclear ribonucleoprotein-associated protein N (snRNP-N) (Sm protein D) (Sm-D) (Sm protein N) (Sm-N) (SmN) (Tissue-specific-splicing protein)	SNRPN HCERN3 SMN	Homo sapiens (Human)	240
P08621	P08621	reviewed	RU17_HUMAN	U1 small nuclear ribonucleoprotein 70 kDa (U1 snRNP 70 kDa) (U1-70K) (snRNP70)	SNRNP70 RNPU1Z RPU1 SNRP70 U1AP1	Homo sapiens (Human)	437
P09234	P09234	reviewed	RU1C_HUMAN	U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C)	SNRPC	Homo sapiens (Human)	159
P09661	P09661	reviewed	RU2A_HUMAN	U2 small nuclear ribonucleoprotein A' (U2 snRNP A')	SNRPA1	Homo sapiens (Human)	255
Q9Y230	Q9Y230	reviewed	RUVB2_HUMAN	RuvB-like 2 (EC 3.6.4.12) (48 kDa TATA box-binding protein-interacting protein) (48 kDa TBP-interacting protein) (51 kDa erythrocyte cytosolic protein) (ECP-51) (INO80 complex subunit J) (Repressing pontin 52) (Reptin 52) (TIP49b) (TIP60-associated protein 54-beta) (TAP54-beta)	RUVBL2 INO80J TIP48 TIP49B CGI-46	Homo sapiens (Human)	463
P62304	P62304	reviewed	RUXE_HUMAN	Small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E) (Sm-E) (SmE)	SNRPE	Homo sapiens (Human)	92
P62306	P62306	reviewed	RUXF_HUMAN	Small nuclear ribonucleoprotein F (snRNP-F) (Sm protein F) (Sm-F) (SmF)	SNRPF PBSCF	Homo sapiens (Human)	86
P62308	P62308	reviewed	RUXG_HUMAN	Small nuclear ribonucleoprotein G (snRNP-G) (Sm protein G) (Sm-G) (SmG)	SNRPG PBSCG	Homo sapiens (Human)	76
P26447	P26447	reviewed	S10A4_HUMAN	Protein S100-A4 (Calvasculin) (Metastasin) (Placental calcium-binding protein) (Protein Mts1) (S100 calcium-binding protein A4)	S100A4 CAPL MTS1	Homo sapiens (Human)	101
P31949	P31949	reviewed	S10AB_HUMAN	Protein S100-A11 (Calgizzarin) (Metastatic lymph node gene 70 protein) (MLN 70) (Protein S100-C) (S100 calcium-binding protein A11) [Cleaved into: Protein S100-A11, N-terminally processed]	S100A11 MLN70 S100C	Homo sapiens (Human)	105
Q9UHR5	Q9UHR5	reviewed	S30BP_HUMAN	SAP30-binding protein (Transcriptional regulator protein HCNGP)	SAP30BP HCNGP HTRG HTRP	Homo sapiens (Human)	308
Q9UBT2	Q9UBT2	reviewed	SAE2_HUMAN	SUMO-activating enzyme subunit 2 (EC 2.3.2.-) (Anthracycline-associated resistance ARX) (Ubiquitin-like 1-activating enzyme E1B) (Ubiquitin-like modifier-activating enzyme 2)	UBA2 SAE2 UBLE1B HRIHFB2115	Homo sapiens (Human)	640
Q15424	Q15424	reviewed	SAFB1_HUMAN	Scaffold attachment factor B1 (SAF-B) (SAF-B1) (HSP27 estrogen response element-TATA box-binding protein) (HSP27 ERE-TATA-binding protein)	SAFB HAP HET SAFB1	Homo sapiens (Human)	915
P23526	P23526	reviewed	SAHH_HUMAN	Adenosylhomocysteinase (AdoHcyase) (EC 3.13.2.1) (S-adenosyl-L-homocysteine hydrolase)	AHCY SAHH	Homo sapiens (Human)	432
Q9Y617	Q9Y617	reviewed	SERC_HUMAN	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)	PSAT1 PSA	Homo sapiens (Human)	370
Q15637	Q15637	reviewed	SF01_HUMAN	Splicing factor 1 (Mammalian branch point-binding protein) (BBP) (mBBP) (Transcription factor ZFM1) (Zinc finger gene in MEN1 locus) (Zinc finger protein 162)	SF1 ZFM1 ZNF162	Homo sapiens (Human)	639
Q9NR45	Q9NR45	reviewed	SIAS_HUMAN	Sialic acid synthase (N-acetylneuraminate synthase) (EC 2.5.1.56) (N-acetylneuraminate-9-phosphate synthase) (EC 2.5.1.57) (N-acetylneuraminic acid phosphate synthase) (N-acetylneuraminic acid synthase)	NANS SAS	Homo sapiens (Human)	359
P42285	P42285	reviewed	MTREX_HUMAN	Exosome RNA helicase MTR4 (EC 3.6.4.13) (ATP-dependent RNA helicase DOB1) (ATP-dependent RNA helicase SKIV2L2) (Superkiller viralicidic activity 2-like 2) (TRAMP-like complex helicase)	MTREX DOB1 KIAA0052 MTR4 SKIV2L2	Homo sapiens (Human)	1042
O60264	O60264	reviewed	SMCA5_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A5) (EC 3.6.4.-) (Sucrose nonfermenting protein 2 homolog) (hSNF2H)	SMARCA5 SNF2H WCRF135	Homo sapiens (Human)	1052
P62314	P62314	reviewed	SMD1_HUMAN	Small nuclear ribonucleoprotein Sm D1 (Sm-D1) (Sm-D autoantigen) (snRNP core protein D1)	SNRPD1	Homo sapiens (Human)	119
P62316	P62316	reviewed	SMD2_HUMAN	Small nuclear ribonucleoprotein Sm D2 (Sm-D2) (snRNP core protein D2)	SNRPD2 SNRPD1	Homo sapiens (Human)	118
P43321	P43321	reviewed	SMD3_YEAST	Small nuclear ribonucleoprotein Sm D3 (Sm-D3) (snRNP core protein D3)	SMD3 YLR147C L9634.6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	101
P63163	P63163	reviewed	RSMN_MOUSE	Small nuclear ribonucleoprotein-associated protein N (snRNP-N) (Sm protein D) (Sm-D) (Sm protein N) (Sm-N) (SmN) (Tissue-specific-splicing protein)	Snrpn Smn	Mus musculus (Mouse)	240
Q96DI7	Q96DI7	reviewed	SNR40_HUMAN	U5 small nuclear ribonucleoprotein 40 kDa protein (U5 snRNP 40 kDa protein) (U5-40K) (38 kDa-splicing factor) (Prp8-binding protein) (hPRP8BP) (U5 snRNP-specific 40 kDa protein) (WD repeat-containing protein 57)	SNRNP40 PRP8BP SFP38 WDR57	Homo sapiens (Human)	357
O43290	O43290	reviewed	SNUT1_HUMAN	U4/U6.U5 tri-snRNP-associated protein 1 (SNU66 homolog) (hSnu66) (Squamous cell carcinoma antigen recognized by T-cells 1) (SART-1) (hSART-1) (U4/U6.U5 tri-snRNP-associated 110 kDa protein) (allergen Hom s 1)	SART1	Homo sapiens (Human)	800
Q53GS9	Q53GS9	reviewed	SNUT2_HUMAN	U4/U6.U5 tri-snRNP-associated protein 2 (Inactive ubiquitin-specific peptidase 39) (SAD1 homolog) (U4/U6.U5 tri-snRNP-associated 65 kDa protein) (65K)	USP39 CGI-21 HSPC332 PRO2855	Homo sapiens (Human)	565
Q9Y5B9	Q9Y5B9	reviewed	SP16H_HUMAN	FACT complex subunit SPT16 (Chromatin-specific transcription elongation factor 140 kDa subunit) (FACT 140 kDa subunit) (FACTp140) (Facilitates chromatin transcription complex subunit SPT16) (hSPT16)	SUPT16H FACT140 FACTP140	Homo sapiens (Human)	1047
P35237	P35237	reviewed	SPB6_HUMAN	Serpin B6 (Cytoplasmic antiproteinase) (CAP) (Peptidase inhibitor 6) (PI-6) (Placental thrombin inhibitor)	SERPINB6 PI6 PTI	Homo sapiens (Human)	376
O75934	O75934	reviewed	SPF27_HUMAN	Pre-mRNA-splicing factor SPF27 (Breast carcinoma-amplified sequence 2) (DNA amplified in mammary carcinoma 1 protein) (Spliceosome-associated protein SPF 27)	BCAS2 DAM1	Homo sapiens (Human)	225
Q96I25	Q96I25	reviewed	SPF45_HUMAN	Splicing factor 45 (45 kDa-splicing factor) (RNA-binding motif protein 17)	RBM17 SPF45	Homo sapiens (Human)	401
P49903	P49903	reviewed	SPS1_HUMAN	Selenide, water dikinase 1 (EC 2.7.9.3) (Selenium donor protein 1) (Selenophosphate synthase 1)	SEPHS1 SELD SPS SPS1	Homo sapiens (Human)	392
O00267	O00267	reviewed	SPT5H_HUMAN	Transcription elongation factor SPT5 (hSPT5) (DRB sensitivity-inducing factor 160 kDa subunit) (DSIF p160) (DRB sensitivity-inducing factor large subunit) (DSIF large subunit) (Tat-cotransactivator 1 protein) (Tat-CT1 protein)	SUPT5H SPT5 SPT5H	Homo sapiens (Human)	1087
Q7KZ85	Q7KZ85	reviewed	SPT6H_HUMAN	Transcription elongation factor SPT6 (hSPT6) (Histone chaperone suppressor of Ty6) (Tat-cotransactivator 2 protein) (Tat-CT2 protein)	SUPT6H KIAA0162 SPT6H	Homo sapiens (Human)	1726
O75494	O75494	reviewed	SRS10_HUMAN	Serine/arginine-rich splicing factor 10 (40 kDa SR-repressor protein) (SRrp40) (FUS-interacting serine-arginine-rich protein 1) (Splicing factor SRp38) (Splicing factor, arginine/serine-rich 13A) (TLS-associated protein with Ser-Arg repeats) (TASR) (TLS-associated protein with SR repeats) (TLS-associated serine-arginine protein) (TLS-associated SR protein)	SRSF10 FUSIP1 FUSIP2 SFRS13A TASR	Homo sapiens (Human)	262
Q05519	Q05519	reviewed	SRS11_HUMAN	Serine/arginine-rich splicing factor 11 (Arginine-rich 54 kDa nuclear protein) (p54) (Splicing factor, arginine/serine-rich 11)	SRSF11 SFRS11	Homo sapiens (Human)	484
Q9HCS7	Q9HCS7	reviewed	SYF1_HUMAN	Pre-mRNA-splicing factor SYF1 (Protein HCNP) (XPA-binding protein 2)	XAB2 HCNP KIAA1177 SYF1 PP3898	Homo sapiens (Human)	855
P13984	P13984	reviewed	T2FB_HUMAN	General transcription factor IIF subunit 2 (General transcription factor IIF 30 kDa subunit) (Transcription initiation factor IIF subunit beta) (TFIIF-beta) (Transcription initiation factor RAP30)	GTF2F2 RAP30	Homo sapiens (Human)	249
Q13148	Q13148	reviewed	TADBP_HUMAN	TAR DNA-binding protein 43 (TDP-43)	TARDBP TDP43	Homo sapiens (Human)	414
P53999	P53999	reviewed	TCP4_HUMAN	Activated RNA polymerase II transcriptional coactivator p15 (Positive cofactor 4) (PC4) (SUB1 homolog) (p14)	SUB1 PC4 RPO2TC1	Homo sapiens (Human)	127
O14776	O14776	reviewed	TCRG1_HUMAN	Transcription elongation regulator 1 (TATA box-binding protein-associated factor 2S) (Transcription factor CA150)	TCERG1 CA150 TAF2S	Homo sapiens (Human)	1098
Q12789	Q12789	reviewed	TF3C1_HUMAN	General transcription factor 3C polypeptide 1 (TF3C-alpha) (TFIIIC box B-binding subunit) (Transcription factor IIIC 220 kDa subunit) (TFIIIC 220 kDa subunit) (TFIIIC220) (Transcription factor IIIC subunit alpha)	GTF3C1	Homo sapiens (Human)	2109
Q9UKN8	Q9UKN8	reviewed	TF3C4_HUMAN	General transcription factor 3C polypeptide 4 (EC 2.3.1.48) (TF3C-delta) (Transcription factor IIIC 90 kDa subunit) (TFIIIC 90 kDa subunit) (TFIIIC90) (Transcription factor IIIC subunit delta)	GTF3C4	Homo sapiens (Human)	822
Q9UBB9	Q9UBB9	reviewed	TFP11_HUMAN	Tuftelin-interacting protein 11 (Septin and tuftelin-interacting protein 1) (STIP-1)	TFIP11 STIP HSPC006	Homo sapiens (Human)	837
P10599	P10599	reviewed	THIO_HUMAN	Thioredoxin (Trx) (ATL-derived factor) (ADF) (Surface-associated sulphydryl protein) (SASP) (allergen Hom s Trx)	TXN TRDX TRX TRX1	Homo sapiens (Human)	105
Q01085	Q01085	reviewed	TIAR_HUMAN	Nucleolysin TIAR (TIA-1-related protein)	TIAL1	Homo sapiens (Human)	375
Q13263	Q13263	reviewed	TIF1B_HUMAN	Transcription intermediary factor 1-beta (TIF1-beta) (E3 SUMO-protein ligase TRIM28) (EC 2.3.2.27) (KRAB-associated protein 1) (KAP-1) (KRAB-interacting protein 1) (KRIP-1) (Nuclear corepressor KAP-1) (RING finger protein 96) (RING-type E3 ubiquitin transferase TIF1-beta) (Tripartite motif-containing protein 28)	TRIM28 KAP1 RNF96 TIF1B	Homo sapiens (Human)	835
P60174	P60174	reviewed	TPIS_HUMAN	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase)	TPI1 TPI	Homo sapiens (Human)	249
Q9Y2W1	Q9Y2W1	reviewed	TR150_HUMAN	Thyroid hormone receptor-associated protein 3 (BCLAF1 and THRAP3 family member 2) (Thyroid hormone receptor-associated protein complex 150 kDa component) (Trap150)	THRAP3 BCLAF2 TRAP150	Homo sapiens (Human)	955
Q13595	Q13595	reviewed	TRA2A_HUMAN	Transformer-2 protein homolog alpha (TRA-2 alpha) (TRA2-alpha) (Transformer-2 protein homolog A)	TRA2A	Homo sapiens (Human)	282
P04818	P04818	reviewed	TYSY_HUMAN	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	TYMS TS OK/SW-cl.29	Homo sapiens (Human)	313
O75643	O75643	reviewed	U520_HUMAN	U5 small nuclear ribonucleoprotein 200 kDa helicase (EC 3.6.4.13) (Activating signal cointegrator 1 complex subunit 3-like 1) (BRR2 homolog) (U5 snRNP-specific 200 kDa protein) (U5-200KD)	SNRNP200 ASCC3L1 BRR2 HELIC2 KIAA0788	Homo sapiens (Human)	2136
Q15029	Q15029	reviewed	U5S1_HUMAN	116 kDa U5 small nuclear ribonucleoprotein component (Elongation factor Tu GTP-binding domain-containing protein 2) (SNU114 homolog) (hSNU114) (U5 snRNP-specific protein, 116 kDa) (U5-116 kDa)	EFTUD2 KIAA0031 SNRP116	Homo sapiens (Human)	972
P61081	P61081	reviewed	UBC12_HUMAN	NEDD8-conjugating enzyme Ubc12 (EC 2.3.2.34) (NEDD8 carrier protein) (Ubiquitin-conjugating enzyme E2 M)	UBE2M UBC12	Homo sapiens (Human)	183
P63279	P63279	reviewed	UBC9_HUMAN	SUMO-conjugating enzyme UBC9 (EC 2.3.2.-) (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I) (p18)	UBE2I UBC9 UBCE9	Homo sapiens (Human)	158
P45974	P45974	reviewed	UBP5_HUMAN	Ubiquitin carboxyl-terminal hydrolase 5 (EC 3.4.19.12) (Deubiquitinating enzyme 5) (Isopeptidase T) (Ubiquitin thioesterase 5) (Ubiquitin-specific-processing protease 5)	USP5 ISOT	Homo sapiens (Human)	858
Q93009	Q93009	reviewed	UBP7_HUMAN	Ubiquitin carboxyl-terminal hydrolase 7 (EC 3.4.19.12) (Deubiquitinating enzyme 7) (Herpesvirus-associated ubiquitin-specific protease) (Ubiquitin thioesterase 7) (Ubiquitin-specific-processing protease 7)	USP7 HAUSP	Homo sapiens (Human)	1102
Q69YN4	Q69YN4	reviewed	VIR_HUMAN	Protein virilizer homolog	VIRMA KIAA1429 MSTP054	Homo sapiens (Human)	1812
P55060	P55060	reviewed	XPO2_HUMAN	Exportin-2 (Exp2) (Cellular apoptosis susceptibility protein) (Chromosome segregation 1-like protein) (Importin-alpha re-exporter)	CSE1L CAS XPO2	Homo sapiens (Human)	971
P67809	P67809	reviewed	YBOX1_HUMAN	Y-box-binding protein 1 (YB-1) (CCAAT-binding transcription factor I subunit A) (CBF-A) (DNA-binding protein B) (DBPB) (Enhancer factor I subunit A) (EFI-A) (Nuclease-sensitive element-binding protein 1) (Y-box transcription factor)	YBX1 NSEP1 YB1	Homo sapiens (Human)	324
Q96MU7	Q96MU7	reviewed	YTDC1_HUMAN	YTH domain-containing protein 1 (Splicing factor YT521) (YT521-B)	YTHDC1 KIAA1966 YT521	Homo sapiens (Human)	727
O75152	O75152	reviewed	ZC11A_HUMAN	Zinc finger CCCH domain-containing protein 11A	ZC3H11A KIAA0663 ZC3HDC11A	Homo sapiens (Human)	810
O60293	O60293	reviewed	ZC3H1_HUMAN	Zinc finger C3H1 domain-containing protein (Coiled-coil domain-containing protein 131) (Proline/serine-rich coiled-coil protein 2)	ZFC3H1 CCDC131 KIAA0546 PSRC2	Homo sapiens (Human)	1989
Q5T200	Q5T200	reviewed	ZC3HD_HUMAN	Zinc finger CCCH domain-containing protein 13	ZC3H13 KIAA0853	Homo sapiens (Human)	1668
Q6PJT7	Q6PJT7	reviewed	ZC3HE_HUMAN	Zinc finger CCCH domain-containing protein 14 (Mammalian suppressor of tau pathology-2) (MSUT-2) (Renal carcinoma antigen NY-REN-37)	ZC3H14	Homo sapiens (Human)	736
Q86VM9	Q86VM9	reviewed	ZCH18_HUMAN	Zinc finger CCCH domain-containing protein 18 (Nuclear protein NHN1)	ZC3H18 NHN1	Homo sapiens (Human)	953
Q5BKZ1	Q5BKZ1	reviewed	ZN326_HUMAN	DBIRD complex subunit ZNF326 (Zinc finger protein 326) (Zinc finger protein interacting with mRNPs and DBC1)	ZNF326 ZIRD	Homo sapiens (Human)	582
Q14966	Q14966	reviewed	ZN638_HUMAN	Zinc finger protein 638 (Cutaneous T-cell lymphoma-associated antigen se33-1) (CTCL-associated antigen se33-1) (Nuclear protein 220) (Zinc finger matrin-like protein)	ZNF638 NP220 ZFML	Homo sapiens (Human)	1978
O00303	O00303	reviewed	EIF3F_HUMAN	Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)	EIF3F EIF3S5	Homo sapiens (Human)	357
O00422	O00422	reviewed	SAP18_HUMAN	Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (2HOR0202) (Cell growth-inhibiting gene 38 protein) (Sin3-associated polypeptide p18)	SAP18 GIG38	Homo sapiens (Human)	153
O14646	O14646	reviewed	CHD1_HUMAN	Chromodomain-helicase-DNA-binding protein 1 (CHD-1) (EC 3.6.4.12) (ATP-dependent helicase CHD1)	CHD1	Homo sapiens (Human)	1710
O14929	O14929	reviewed	HAT1_HUMAN	Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48) (Histone acetyltransferase 1)	HAT1 KAT1	Homo sapiens (Human)	419
O14980	O14980	reviewed	XPO1_HUMAN	Exportin-1 (Exp1) (Chromosome region maintenance 1 protein homolog)	XPO1 CRM1	Homo sapiens (Human)	1071
O14981	O14981	reviewed	BTAF1_HUMAN	TATA-binding protein-associated factor 172 (EC 3.6.4.-) (ATP-dependent helicase BTAF1) (B-TFIID transcription factor-associated 170 kDa subunit) (TAF(II)170) (TBP-associated factor 172) (TAF-172)	BTAF1 TAF172	Homo sapiens (Human)	1849
O15347	O15347	reviewed	HMGB3_HUMAN	High mobility group protein B3 (High mobility group protein 2a) (HMG-2a) (High mobility group protein 4) (HMG-4)	HMGB3 HMG2A HMG4	Homo sapiens (Human)	200
O43143	O43143	reviewed	DHX15_HUMAN	ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (ATP-dependent RNA helicase #46) (DEAH box protein 15) (Splicing factor Prp43) (hPrp43)	DHX15 DBP1 DDX15	Homo sapiens (Human)	795
O43395	O43395	reviewed	PRPF3_HUMAN	U4/U6 small nuclear ribonucleoprotein Prp3 (Pre-mRNA-splicing factor 3) (hPrp3) (U4/U6 snRNP 90 kDa protein)	PRPF3 HPRP3 PRP3	Homo sapiens (Human)	683
O43447	O43447	reviewed	PPIH_HUMAN	Peptidyl-prolyl cis-trans isomerase H (PPIase H) (EC 5.2.1.8) (Rotamase H) (Small nuclear ribonucleoprotein particle-specific cyclophilin H) (CypH) (U-snRNP-associated cyclophilin SnuCyp-20) (USA-CYP)	PPIH CYP20 CYPH	Homo sapiens (Human)	177
O43660	O43660	reviewed	PLRG1_HUMAN	Pleiotropic regulator 1	PLRG1	Homo sapiens (Human)	514
O43684	O43684	reviewed	BUB3_HUMAN	Mitotic checkpoint protein BUB3	BUB3	Homo sapiens (Human)	328
O43823	O43823	reviewed	AKAP8_HUMAN	A-kinase anchor protein 8 (AKAP-8) (A-kinase anchor protein 95 kDa) (AKAP 95)	AKAP8 AKAP95	Homo sapiens (Human)	692
O60231	O60231	reviewed	DHX16_HUMAN	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 (EC 3.6.4.13) (ATP-dependent RNA helicase #3) (DEAH-box protein 16)	DHX16 DBP2 DDX16 KIAA0577 PRP2	Homo sapiens (Human)	1041
O60306	O60306	reviewed	AQR_HUMAN	RNA helicase aquarius (EC 3.6.4.13) (Intron-binding protein of 160 kDa) (IBP160)	AQR KIAA0560	Homo sapiens (Human)	1485
O60828	O60828	reviewed	PQBP1_HUMAN	Polyglutamine-binding protein 1 (PQBP-1) (38 kDa nuclear protein containing a WW domain) (Npw38) (Polyglutamine tract-binding protein 1)	PQBP1 NPW38 JM26	Homo sapiens (Human)	265
O75340	O75340	reviewed	PDCD6_HUMAN	Programmed cell death protein 6 (Apoptosis-linked gene 2 protein homolog) (ALG-2)	PDCD6 ALG2	Homo sapiens (Human)	191
O75533	O75533	reviewed	SF3B1_HUMAN	Splicing factor 3B subunit 1 (Pre-mRNA-splicing factor SF3b 155 kDa subunit) (SF3b155) (Spliceosome-associated protein 155) (SAP 155)	SF3B1 SAP155	Homo sapiens (Human)	1304
O95239	O95239	reviewed	KIF4A_HUMAN	Chromosome-associated kinesin KIF4A (Chromokinesin-A)	KIF4A KIF4	Homo sapiens (Human)	1232
P02545	P02545	reviewed	LMNA_HUMAN	Prelamin-A/C [Cleaved into: Lamin-A/C (70 kDa lamin) (Renal carcinoma antigen NY-REN-32)]	LMNA LMN1	Homo sapiens (Human)	664
P06493	P06493	reviewed	CDK1_HUMAN	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase)	CDK1 CDC2 CDC28A CDKN1 P34CDC2	Homo sapiens (Human)	297
P07195	P07195	reviewed	LDHB_HUMAN	L-lactate dehydrogenase B chain (LDH-B) (EC 1.1.1.27) (LDH heart subunit) (LDH-H) (Renal carcinoma antigen NY-REN-46)	LDHB	Homo sapiens (Human)	334
P08133	P08133	reviewed	ANXA6_HUMAN	Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II) (CPB-II) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70)	ANXA6 ANX6	Homo sapiens (Human)	673
P08758	P08758	reviewed	ANXA5_HUMAN	Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CPB-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha)	ANXA5 ANX5 ENX2 PP4	Homo sapiens (Human)	320
P09012	P09012	reviewed	SNRPA_HUMAN	U1 small nuclear ribonucleoprotein A (U1 snRNP A) (U1-A) (U1A)	SNRPA	Homo sapiens (Human)	282
P09429	P09429	reviewed	HMGB1_HUMAN	High mobility group protein B1 (High mobility group protein 1) (HMG-1)	HMGB1 HMG1	Homo sapiens (Human)	215
P11387	P11387	reviewed	TOP1_HUMAN	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I)	TOP1	Homo sapiens (Human)	765
P11388	P11388	reviewed	TOP2A_HUMAN	DNA topoisomerase 2-alpha (EC 5.6.2.2) (DNA topoisomerase II, alpha isozyme)	TOP2A TOP2	Homo sapiens (Human)	1531
P12004	P12004	reviewed	PCNA_HUMAN	Proliferating cell nuclear antigen (PCNA) (Cyclin)	PCNA	Homo sapiens (Human)	261
P12270	P12270	reviewed	TPR_HUMAN	Nucleoprotein TPR (Megator) (NPC-associated intranuclear protein) (Translocated promoter region protein)	TPR	Homo sapiens (Human)	2363
